CODE|NAME OF THE INSTITUTE|PLACE|DIST|REG|TYPE|MIN|COED|AFFL|ESTD
ACEE|ADARSH COLLEGE OF ENGINEERING|GOLLAPROLU|EG|AU|PVT|NA|COED|JNTUK|2008
ADCP|ADARSHA COLL OF PHARMACY|G.KOTHAPALLI|EG|AU|PVT|NA|COED|JNTUK|2008
ADTP|ADITYA ENGINEERING COLLEGE|PEDDAPURAM|EG|AU|PVT|NA|COED|JNTUK|2001
AIME|AMALAPURAM INST OF MGMT SCI COLL OF ENGG|MUMMIDIVARAM|EG|AU|PVT|NA|COED|JNTUK|2009
APRP|ADITYA INSTITUTE OF PHARMACEUTICAL SCI. AND RESEARCH|PEDDAPURAM|EG|AU|PVT|NA|COED|AU|2004
BITW|BADARI INST OF TECHNOLOGY SCI WOMEN|KAKINADA|EG|AU|PVT|NA|GIRLS|JNTUK|2009
BVCE|B V CHALAMAIAH ENGINEERING COLLEGE|ODALAREVU|EG|AU|PVT|NA|COED|JNTUK|1997
BVCR|BVC ENGINEERING COLLEGE|RAJAHMUNDRY|EG|AU|PVT|NA|COED|JNTUK|2009
BVTS|BONAM VENKATA CHALAMAIAH INST. OF TECHNOLOGY AND SCI.|AMALAPURAM|EG|AU|PVT|NA|COED|JNTUK|2002
CETR|CHAITANYA INST. OF ENGG. AND TECHNOLOGY|RAJAHMUNDRY|EG|AU|PVT|NA|COED|JNTUK|2005
CHKN|CHAITANYA INST. OF SCI. AND TECHNOLOGY|KAKINADA|EG|AU|PVT|NA|COED|JNTUK|2005
GIER|GODAVARI INSTITUTE OF ENGG. AND TECHNOLOGY|RAJAHMUNDRY|EG|AU|PVT|NA|COED|JNTUK|1998
GIET|GIET COLLEGE OF ENGINEERING|RAJAHMUNDRY|EG|AU|PVT|NA|COED|JNTUK|2009
GIPR|GIET SCHOOL OF PHARMACY|RAJAHMUNDRY|EG|AU|PVT|NA|COED|AU|2004
IDEL|IDEAL INSTITUTE OF TECHNOLOGY|KAKINADA|EG|AU|PVT|NA|COED|JNTUK|2009
ISTS|INTERNATIONAL SCHOOL OF TECH AND SCIENCES FOR WOMEN|RAJAHMUNDRY|EG|AU|PVT|NA|GIRLS|JNTUK|2009
KCPT|KORINGA COLLEGE OF PHARMACY|TALLAREVU|EG|AU|PVT|NA|COED|AU|2007
KETW|KAKINADA INST OF ENGG AND TECHNOLOGY FOR WOMEN|KAKINADA|EG|AU|PVT|NA|GIRLS|JNTUK|2008
KIET|KAKINADA INSTITUTE OF ENGG. AND TECHNOLOGY|KAKINADA|EG|AU|PVT|NA|COED|JNTUK|2001
KIMS|KONASEEMA INST OF MGMT SCIENCES AND COLL OF ENGG.|AMALAPURAM|EG|AU|PVT|NA|COED|AU|2008
KISR|KAKINADA INSTITUTE OF TECHNOLOGY SCIENCES|RAMACHANDRAPURAM|EG|AU|PVT|NA|COED|JNTUK|2008
KITK|KAKINADA INST OF ENGG TECHNOLOGY|KAKINADA|EG|AU|PVT|NA|COED|JNTUK|2009
KJRP|K.J.R.COLLEGE OF PHARMACY|RAJAHMUNDRY|EG|AU|PVT|NA|COED|AU|2007
KPIT|KRISHNAS PRAGATHI INST OF TECHNOLOGY|RAJAHMUNDRY|EG|AU|PVT|NA|COED|JNTUK|2008
KTSP|KAKINADA INSTITUTE OF TECHNOLOGY AND SCIENCE|PEDDAPURAM|EG|AU|PVT|NA|COED|JNTUK|2008
LENO|LENORA COLLEGE OF ENGINEERING|RAMPACHODAVARAM|EG|AU|PVT|NA|COED|JNTUK|2000
LYDP|LYDIA COLLEGE OF PHARMACY|RAVULAPALEM|EG|AU|PVT|NA|COED|AU|2007
PCET|PRASIDDHA COLLEGE OF ENGG TECHNOLOGY|ANATHAVARAM|EG|AU|PVT|NA|COED|JNTUK|2009
PRAG|PRAGATI ENGINEERING COLLEGE|PEDDAPURAM|EG|AU|PVT|NA|COED|JNTUK|2001
PYDE|PYDAH COLL OF ENGINEERING|KAKINADA|EG|AU|PVT|NA|COED|JNTUK|2009
PYDP|PYDAH COLLEGE OF PHARMACY|KAKINADA|EG|AU|PVT|NA|COED|AU|2007
RECR|RAJAHMUNDRY ENGINEERING COLLEGE|RAJAHMUNDRY|EG|AU|PVT|NA|COED|JNTUK|2009
RIET|RAJAMAHENDRI INST OF ENGG AND TECHNOLOGY|RAJAHMUNDRY|EG|AU|PVT|NA|COED|JNTUK|2008
SACS|SRI ADITYA ENGINEERING COLLEGE|PEDDAPURAM|EG|AU|PVT|NA|COED|JNTUK|2008
SISP|SRI SAI ADITYA INST. OF PHARM. SCI. AND RES.|PEDDAPURAM|EG|AU|PVT|NA|COED|AU|2006
SISS|SRI SAI ADITYA INSTITUTE OF SCI. AND TECHNOLOGY|PEDDAPURAM|EG|AU|PVT|NA|COED|JNTUK|2004
SMCP|ST. MARYS COLL. PHARM SURAMPALEM|PEDDAPURAM|EG|AU|PVT|NA|COED|AU|2005
SPCT|SRI PRAKASH COLLEGE OF ENGINEERING|TUNI|EG|AU|PVT|NA|COED|JNTUK|2001
SRIN|SRINIVASA INST OF ENGG AND TECHNOLOGY|CHEYYERU|EG|AU|PVT|NA|COED|JNTUK|2009
SSMR|SRI SAI MADHAVI INST OF SCIENCE AND TECHNOLOGY|RAJAHMUNDRY|EG|AU|PVT|NA|COED|JNTUK|2008
VJCP|V JS COLLEGE OF PHARMACY|RAJAHMUNDRY|EG|AU|PVT|NA|COED|AU|2007
VKSR|VIKAS INST. OF PHARM.SCI.|RAJAHMUNDRY|EG|AU|PVT|NA|COED|AU|2008
