CODE,CRS,Year,OC-BOY,OC-GIRL,SC-BOY,SC-GIRL,ST-BOY,ST-GIRL,BCA-BOY,BCA-GIRL,BCB-BOY,BCB-GIRL,BCC-BOY,BCC-GIRL,BCD-BOY,BCD-GIRL,BCE-BOY,BCE-GIRL
JNTK,CIV,2009,1643,1957,13956,15392,21399,36207,5951,8875,2675,6879,10773,10773,3747,3783,6080,7892
JNTK,CPE,2009,5615,10808,30373,41886,87272,78910,18745,13226,12267,19247,0,0,9149,16556,8536,12608
JNTK,CSE,2009,1384,1395,14046,12335,0,45821,6111,8505,2847,2765,0,0,3314,1578,7681,6533
JNTK,ECE,2009,419,434,5441,3117,13815,23068,1469,1752,946,1029,4664,4664,758,653,1816,2356
JNTK,EEE,2009,723,630,7877,8224,10564,17327,2403,5768,1163,1566,0,0,1287,1421,2609,4603
JNTK,MEC,2009,893,1548,9505,13395,20139,43091,2711,7342,1782,3301,0,0,1373,1373,3077,12277
AUCE,CEE,2009,2223,2713,0,28282,51683,51683,9138,9138,0,12737,0,0,0,5189,0,0
AUCE,CER,2009,7766,7766,57859,57859,0,157251,17613,17613,43672,50715,0,0,30674,30674,0,82794
AUCE,CHE,2009,3424,3492,17211,21562,27173,34180,9992,9992,7798,15637,0,43090,4994,7098,14118,22304
AUCE,CIV,2009,1269,2207,10973,13650,20589,20589,2439,8427,2525,2732,0,0,1642,1642,3578,3578
AUCE,CPE,2009,2985,6991,20863,20863,0,37590,8296,8296,0,0,0,0,0,0,0,0
AUCE,CSE,2009,525,866,9233,8942,18544,18544,2338,5522,1335,1693,0,0,1513,1653,3643,3797
AUCE,ECE,2009,175,280,1486,1667,11097,15462,734,1191,724,849,0,0,215,215,474,474
AUCE,EEE,2009,461,469,3028,3649,17394,17394,2251,2251,910,994,1804,1804,800,854,1812,3910
AUCE,GIN,2009,13120,12484,40302,55264,82137,82137,30365,17592,23346,31645,0,0,25620,29415,31132,31132
AUCE,IST,2009,3288,4099,16234,26462,0,54812,9990,8028,4633,8694,0,0,4097,4814,5794,5794
AUCE,MEC,2009,586,1504,4372,7816,0,21099,922,8657,989,1257,0,0,871,1551,2764,2764
AUCE,MET,2009,7227,5400,35098,36730,0,53463,13809,16765,13950,19538,0,0,10187,8032,23924,23924
AUCE,NMA,2009,3231,4491,23509,26505,46282,46282,8911,15248,7859,7154,0,0,3870,7297,0,44131
JNTV,CSE,2009,11483,10879,39315,52665,66576,97789,25725,24746,27700,23527,25550,212587,18846,32896,60809,64089
JNTV,ECE,2009,4803,6463,18722,25689,29567,42929,12734,11368,6901,8883,0,0,6183,6179,17506,17506
JNTV,EEE,2009,6416,12314,25217,31552,32583,43602,16312,15269,10809,14592,0,0,8402,9773,34854,82387
JNTV,INF,2009,26896,26091,77497,126332,93694,93694,59731,79382,51014,67580,53036,53036,45758,57720,0,0
JNTV,MEC,2009,7643,15315,28308,49770,52557,58626,15867,22862,19487,20030,9774,9774,12485,23061,0,31510
ANCUSF,CIV,2009,33163,29337,89234,126599,80270,114745,96073,119139,86345,109069,0,39346,56336,79839,69134,165863
ANCUSF,CSE,2009,34541,158720,111188,134213,177742,142381,68851,75907,78891,82046,0,61074,74405,63260,91472,111021
ANCUSF,ECE,2009,11759,15687,48494,46441,130337,68847,14750,20379,19758,26296,0,0,34170,58875,33969,41381
ANCUSF,EEE,2009,19798,20109,85545,101353,129910,122871,67315,101181,67520,69375,0,25403,43745,63282,64688,59423
JNTH,CIV,2009,2018,2500,12677,19358,9598,16660,6952,19577,3765,3822,0,7372,3796,3796,5088,5088
JNTH,CSE,2009,940,921,13707,12609,20249,20491,5623,2665,2030,1982,0,5306,2267,3110,4618,4618
JNTH,ECE,2009,262,259,4010,4524,5813,7630,1718,2066,412,435,0,0,349,1326,291,2015
JNTH,EEE,2009,552,647,8247,7283,7804,7990,2863,4516,1199,1178,0,4119,1201,924,0,2296
JNTH,MEC,2009,988,1272,10792,14237,8212,15159,3889,6538,2648,2853,0,0,2158,2158,1258,1258
JNTH,MET,2009,10116,9486,48923,43203,45042,45042,14611,32775,16144,15120,0,0,18357,20836,24090,24090
JNTHMB,CIV,2009,3444,3473,19090,30029,32226,32226,0,0,7618,5771,0,12317,8207,7733,0,3454
JNTHMB,CSE,2009,1936,2740,29486,29795,0,0,0,16424,0,0,0,0,0,7116,34581,34581
JNTHMB,ECE,2009,1003,705,18102,11098,0,48812,2366,2366,1139,636,0,0,2390,2390,0,0
JNTHMB,EEE,2009,0,2546,22852,9456,0,0,0,7530,0,3563,0,0,4174,3986,0,23834
JNTHMB,MEC,2009,1484,3065,18472,18472,0,34217,0,10144,5614,5300,0,0,6389,6389,0,0
JNTHMT,CIV,2009,3689,3938,27338,26910,0,33241,0,9435,3086,4882,0,0,6147,6147,0,37296
JNTHMT,CSE,2009,1233,2046,19189,18093,37282,37282,0,8771,3911,3911,0,4875,0,0,0,22953
JNTHMT,ECE,2009,462,464,4128,10953,6705,24152,0,1038,0,465,0,0,644,2201,2632,278
JNTHMT,EEE,2009,1194,1304,17675,29408,22763,22763,6204,6204,4060,1910,668,668,599,599,3126,3126
JNTHMT,MEC,2009,2650,2553,13897,13897,31493,31493,8478,18928,4735,4339,0,0,2695,10069,0,0
OUCE,BME,2009,9605,9675,40750,77929,64393,70460,34480,22583,9196,20553,0,14216,9888,35651,0,19852
OUCE,CIV,2009,2326,2570,16433,16568,14361,16973,5481,16546,3656,3789,7074,7074,4065,5730,5204,3129
OUCE,CSE,2009,1412,1468,15084,14649,15383,22274,6023,6231,2345,2897,4891,4891,3727,3535,0,1533
OUCE,ECE,2009,335,332,4959,4876,5322,4395,1625,2304,538,624,3817,3817,421,295,1965,2818
OUCE,EEE,2009,827,811,7991,11110,10858,14436,3954,5128,1477,1633,0,0,1514,1491,3145,6323
OUCE,MEC,2009,1279,2110,11820,17280,13161,10616,5040,6905,2335,2981,0,0,2415,2440,4837,4837
OUCT,CHE,2009,6008,5669,32449,35002,18325,34101,24146,32541,9173,11074,0,0,11112,10472,27773,5476
OUCT,FPT,2009,17168,21250,83244,65613,83824,84631,0,67139,23091,23091,0,30298,22424,77013,0,0
OUCT,TEX,2009,15607,21902,38213,70914,83641,83641,0,71857,35644,41783,12622,12622,0,28028,90054,90054
JNKR,CSE,2009,14048,13920,58680,49717,35466,56012,39525,36477,17309,19188,0,43796,22983,22762,60631,61109
JNKR,ECE,2009,7501,8461,22146,19325,23383,23383,11785,22606,11999,12876,14365,14365,10896,12252,19153,12428
JNKR,EEE,2009,9869,11588,33284,34974,31292,33443,24502,33898,13063,13605,0,0,13162,20468,43653,32614
JNKR,INF,2009,26984,26810,92117,91395,80250,91640,77091,66303,37915,40569,0,0,37504,76539,72597,96734
JNKR,MEC,2009,11664,12442,37072,77069,37189,46520,27402,62988,15574,20896,0,71697,16720,38181,31984,39451
KUCE,CSE,2009,21673,9955,74009,89511,52178,31434,74849,193468,33627,46579,0,0,30923,31201,54588,93001
KUCE,EEE,2009,13426,23021,36922,58096,30932,30932,62539,36832,19784,26116,0,0,27044,25395,47874,47874
KUCE,MIN,2009,19592,0,48570,0,49096,0,45375,0,26761,0,0,0,28322,0,28326,0
KUWLSF,CSE,2009,17918,19810,87648,87629,70883,85616,65103,64613,30371,32085,0,56665,37080,32796,0,54703
KUWLSF,ECE,2009,8233,9797,38435,33128,49603,74449,31114,31548,17006,17597,0,89134,18187,18549,0,28230
KUWLSF,EEE,2009,13563,13936,47540,49513,50994,36800,43281,58086,20047,19340,0,101024,20375,28058,0,49981
KUWLSF,MEC,2009,17788,20837,58045,91131,55227,58959,46983,42392,22985,33228,0,0,27555,36334,56608,56608
JNTA,CHE,2009,11177,12263,64933,79237,81201,109202,37919,38384,15368,27216,71472,71472,40408,43701,29956,141562
JNTA,CIV,2009,4324,6161,21348,43563,33170,53891,9429,10470,8162,6466,0,0,12366,12823,10640,10311
JNTA,CSE,2009,3945,3691,29610,42375,51261,59152,12742,13516,6651,10547,0,0,13433,5590,10513,17091
JNTA,ECE,2009,1018,1116,11150,12757,23292,14686,1931,4429,1925,2241,0,11242,2793,7617,1428,5506
JNTA,EEE,2009,1539,2278,14541,31259,24191,32539,3187,4615,3116,3520,0,0,3514,7770,2912,6566
JNTA,MEC,2009,2235,13361,19891,47545,31773,34863,8191,13993,4512,11701,7764,7764,5978,7905,9438,9438
SVUC,CHE,2009,9397,9312,54490,43287,76366,76366,18769,30847,15912,20722,133782,133782,18980,60905,32580,32580
SVUC,CIV,2009,3234,3779,17709,18441,31527,31527,8177,15773,5155,9468,0,0,4100,9283,8578,10539
SVUC,CSE,2009,2922,3062,24020,16994,46227,35068,7744,8703,3004,3994,0,0,8611,9259,10231,40269
SVUC,ECE,2009,646,649,7814,11159,24431,14797,1122,1999,1592,1601,11549,11549,1337,904,660,971
SVUC,EEE,2009,1327,1328,11414,12646,22997,22997,3959,5488,2309,2019,0,0,2185,6310,4228,5460
SVUC,MEC,2009,1831,2705,15599,27054,22544,73855,5368,7176,4234,4680,0,63517,3808,3941,5529,5529
JNTP,CSE,2009,8635,8097,54138,51951,69027,53744,20629,12940,13403,13406,0,47507,31628,19099,13505,26468
