CODE,CRS,YEAR,OC-BOY,OC-GIRL,SC-BOY,SC-GIRL,ST-BOY,ST-GIRL,BCA-BOY,BCA-GIRL,BCB-BOY,BCB-GIRL,BCC-BOY,BCC-GIRL,BCD-BOY,BCD-GIRL,BCE-BOY,BCE-GIRL,,
ANCUSF,CIV,2010,26397,40102,83987,142936,83174,83174,62456,64336,55137,55137,47168,47168,48440,90940,35117,97260,,
ANCUSF,CSE,2010,25997,25997,76790,76790,128177,128177,58340,58340,73316,90887,25997,25997,51372,56102,92758,92758,,
ANCUSF,ECE,2010,11131,11131,57928,60792,74508,74508,24892,41182,27492,27492,11131,44478,17712,51893,21493,25078,,
ANCUSF,EEE,2010,18675,20308,65065,65065,33976,85317,47998,47998,43661,43661,18675,65217,40848,65962,47543,85499,,
ANCUSF,MEC,2010,21911,48904,67122,67122,51281,210419,53109,156372,63498,92878,25003,48904,45092,74314,57312,64225,,
AUEWSF,CSE,2010,0,8452,0,46721,0,85600,0,24935,0,31286,0,23865,0,11827,0,60232,,
AUEWSF,ECE,2010,0,3656,0,19104,0,48317,0,9755,0,16295,0,3656,0,7531,0,36787,,
AUEWSF,EEE,2010,0,6914,0,38144,0,75502,0,16265,0,23572,0,28775,0,10753,0,96024,,
AUEWSF,MEC,2010,0,10609,0,57283,0,125349,0,25122,0,34435,0,12600,0,17800,0,97877,,
AUCE,CEE,2010,4162,4162,48592,48592,4162,4162,4162,4162,4162,19126,4162,4162,6661,6661,4162,4162,,
AUCE,CER,2010,12642,16694,42744,42744,110171,110171,12642,16694,20436,20436,12642,16694,28085,28085,12642,119143,,
AUCE,CHE,2010,4129,4129,32224,32224,24723,77571,6974,9050,7362,12092,4129,22605,5602,8174,11930,11930,,
AUCE,CIV,2010,1267,1331,10397,10397,22824,22824,1937,7078,2586,2779,1267,1331,1491,5168,4841,13560,,
AUCE,CPE,2010,2031,5943,19379,19379,2031,5943,9506,9506,2031,5943,2031,5943,3742,10804,2031,5943,,
AUCE,CSE,2010,738,777,10783,10783,12754,30517,3129,3129,1484,1484,738,777,1913,1913,2875,2875,,
AUCE,ECE,2010,264,264,2466,5852,13864,13864,422,422,580,580,639,639,306,306,1107,1107,,
AUCE,EEE,2010,492,514,4638,11010,15852,15852,532,4563,1226,1335,492,514,544,1848,492,514,,
AUCE,GIN,2010,16735,18168,53543,57843,75070,84923,31091,31091,27448,27781,16735,18168,17716,18168,51844,51844,,
AUCE,IST,2010,3181,3181,33858,33858,70223,70223,4381,4381,3873,13147,3181,68149,4245,4245,44761,63860,,
AUCE,MEC,2010,813,1546,4060,10057,5703,30653,1041,5360,1590,1590,813,1546,831,3354,1105,1546,,
AUCE,MET,2010,6713,11139,34510,36921,6713,11139,30613,32429,10293,17451,6713,11139,8352,14930,6713,78400,,
AUCE,NMA,2010,3435,8578,15830,34383,69061,120722,3857,33344,4963,9879,3435,8578,4862,8578,6215,8578,,
JNTK,CIV,2010,1557,2807,12204,12204,24203,24257,4285,6946,2938,3239,1557,8245,2614,3859,5944,14291,,
JNTK,CPE,2010,6294,7098,29891,35916,43396,58638,20894,20894,9436,10261,6294,7098,10152,10152,11497,105130,,
JNTK,CSE,2010,1080,1080,9621,9621,17936,18122,3000,7929,2018,2018,1915,1915,2036,2036,6357,6357,,
JNTK,ECE,2010,547,547,5733,5733,16325,16325,1393,1897,1010,1195,547,547,784,976,1130,1130,,
JNTK,EEE,2010,802,880,7248,7519,20434,20434,1603,2857,1741,1741,802,880,1192,3334,1382,7834,,
JNTK,MEC,2010,1070,1598,8908,10574,21465,50771,1654,7342,2079,5281,2111,2111,1391,3493,4761,13265,,
JNTK,PET,2010,12256,12256,72002,72002,51148,168819,26448,44669,25407,25407,12256,12256,20283,41043,210240,210240,,
JNTV,CSE,2010,8360,8788,32764,32764,43566,43566,19268,19268,16038,16038,13070,13070,11881,15143,17633,26629,,
JNTV,ECE,2010,3578,4458,13691,18610,34921,52191,8196,8196,6563,7604,4435,4458,5751,5751,5533,14938,,
JNTV,EEE,2010,4870,6339,16341,22007,26730,44448,13075,13790,9774,10878,8830,8830,7150,7150,8667,8683,,
JNTV,INF,2010,16457,16457,45458,77006,32964,91161,30070,40235,39192,39192,57248,57248,22282,32046,210170,210170,,
JNTV,MEC,2010,5554,9639,17954,37213,37793,56915,13005,18822,8524,22017,10329,10329,10257,11233,37955,37955,,
ACEE,CSE,2010,192796,192796,251765,251765,257061,257061,251420,251420,235336,235336,192796,192796,192796,248135,192796,208135,,
ACEE,ECE,2010,135214,135214,235632,235632,247121,258277,251658,254354,207331,239786,135214,236792,183962,196970,204295,249009,,
ACEE,EEE,2010,201238,212676,252574,252574,201238,216963,212499,254948,255993,255993,201238,212676,251891,251891,201238,212676,,
ACEE,MEC,2010,139297,206042,216617,251618,139297,239349,219849,234910,199829,206042,139297,206042,161243,212445,173735,206042,,
ADTP,CIV,2010,30575,31082,122528,184908,133589,154495,100422,100422,47131,101654,102316,121870,47449,69611,106918,106918,,
ADTP,CSE,2010,29826,29826,234713,234713,255340,255340,90239,90239,63906,63906,51583,51583,55493,55493,228418,228418,,
ADTP,ECE,2010,15350,15350,66649,66649,146506,182069,29989,32557,32775,32775,32601,32601,26251,26251,48116,101697,,
ADTP,EEE,2010,19995,19995,89538,95461,165498,230107,40478,91842,38455,56070,19995,19995,33484,61729,131182,151710,,
ADTP,INF,2010,71216,71216,75396,75396,71216,234324,163972,163972,140002,140002,71216,75186,135494,179234,244897,244897,,
ADTP,MEC,2010,22683,45400,107271,258929,204198,204198,41207,114290,46065,131634,28971,211369,38518,96925,97009,127398,,
AIME,CSE,2010,257497,257497,257497,257497,257497,257497,257641,257641,257497,257497,257497,257497,258093,258093,257828,257828,,
AIME,ECE,2010,224936,224936,259047,259047,224936,224936,246331,246331,245366,245366,224936,224936,224936,224936,224936,224936,,
AIME,EEE,2010,183714,183714,239459,239459,256433,256433,183714,183714,183714,183714,183714,183714,183714,183714,183714,183714,,
AIME,MEC,2010,244547,246096,259363,259363,249863,249863,254682,254682,254894,254894,244547,246096,251304,251304,244547,246096,,
ASRK,ECE,2010,219546,219546,219546,219546,219546,219546,219546,219546,219546,219546,219546,219546,219546,219546,219546,219546,,
BITW,CSE,2010,0,0,0,0,0,185052,0,0,0,0,0,0,0,0,0,0,,
BITW,ECE,2010,0,203709,0,213030,0,203709,0,203709,0,208295,0,203709,0,203709,0,203709,,
BITW,EEE,2010,0,182705,0,182705,0,182705,0,182705,0,182705,0,182705,0,182705,0,182705,,
BVCE,CIV,2010,43797,219071,235428,235428,226198,226198,153811,219071,88345,219071,43797,219071,80758,219071,142564,219071,,
BVCE,CSE,2010,85614,85614,258828,258828,85614,250565,251296,251296,192259,201322,182546,182546,137308,137308,257828,257828,,
BVCE,ECE,2010,29633,36892,121294,173336,191770,258522,84423,200779,85613,138199,29633,82282,52488,71157,146848,146848,,
BVCE,EEE,2010,32156,50506,194804,211565,259176,259176,119283,119283,82970,163342,97697,97697,47570,151350,125974,125974,,
BVCE,INF,2010,190662,190662,239447,239447,258719,258719,190662,190662,198335,257965,190662,190662,212059,253382,215516,215516,,
BVCE,MEC,2010,34985,107811,125753,135363,248870,254734,82544,107811,75540,107811,34985,107811,41580,230416,119969,183796,,
BVCR,CSE,2010,225618,225618,225618,225618,254715,254715,245109,245109,253965,253965,225618,225618,225618,233856,225618,225618,,
BVCR,ECE,2010,109575,109575,250329,250329,259321,259321,251060,251060,231258,231258,183769,183769,201094,213600,238443,238443,,
BVCR,EEE,2010,233659,233659,245809,245809,233659,233659,244773,244773,233659,233659,233659,233659,233659,233659,243018,243018,,
